Time,Altitude,Pressure,Velocity,SolidFuel,LiquidFuel,Temperature,Angle
22395988.238859095,937.556124904484,4181.83447265625,9.915910241821418,240.0,242.26354598999023,247.34437123358484,3.0551021097730504
22395988.318859108,936.3684752368135,4182.46533203125,9.432404812996733,240.0,241.04832649230957,247.3466793219505,3.839480615146535
22395988.39885912,935.5528950136504,4182.99462890625,8.206974060570644,240.0,241.04832649230957,247.34938358929688,3.6828018732894985
22395988.558859147,934.3852948002168,4183.521484375,8.549016639942499,240.0,241.04832649230957,247.35220013498432,3.5640104286746945
22395988.63885916,933.5168837888632,4183.97607421875,8.891534259631756,240.0,241.04832649230957,247.35514168831648,3.430564088841102
22395988.798859186,932.4371093533118,4184.54248046875,9.233912959779339,240.0,241.04832649230957,247.35819620757897,3.3071242564004377
22395988.8788592,931.3159537139582,4185.1298828125,9.519108067747197,240.0,241.04832649230957,247.3613521985469,3.192473979313828
22395989.038859226,930.1540291880956,4185.73974609375,9.861423498965321,240.0,241.04832649230957,247.36406922215923,3.102776306832772
22395989.11885924,929.154091615288,4186.26416015625,9.434408047618236,240.0,239.83309745788574,247.3664863841713,3.914316370565315
22395989.198859252,928.150613495789,4186.8154296875,8.150406317509173,240.0,239.83309745788574,247.3691674342815,3.752175301723142
22395989.35885928,927.3222484081052,4187.337890625,8.492769329925808,240.0,239.83309745788574,247.37197278451754,3.6301536722285945
22395989.43885929,926.2905686869635,4187.791015625,8.83524730973774,240.0,239.83309745788574,247.3748948492413,3.4717080914075975
22395989.598859318,925.2174459206872,4188.44921875,9.17767437036517,240.0,239.83309745788574,247.37791349532333,3.346771463303535
22395989.67885933,924.103370697936,4189.03759765625,9.519947499241058,240.0,239.83309745788574,247.3810499646762,3.2307341310025715
22395989.838859357,922.9482181231724,4189.6474609375,9.862309644142474,240.0,239.83309745788574,247.38430012184995,3.139832638085382
22395989.91885937,921.7518094259431,4190.17236328125,9.434636891669534,240.0,238.61788749694824,247.38714673234054,3.9663127020143207
22395990.078859396,920.7483906694106,4190.7236328125,8.206946849395283,240.0,238.61788749694824,247.38985365089917,3.801694193826787
22395990.15885941,919.7511411402375,4191.2470703125,8.491771406945746,240.0,238.61788749694824,247.39218424031745,3.678382787118471
22395990.318859436,918.8887132130913,4191.79150390625,8.834255550144373,240.0,238.61788749694824,247.3951033482347,3.5394197902515403
22395990.39885945,917.8158940481371,4192.2626953125,9.176746229940688,240.0,238.61788749694824,247.39812197986672,3.4114339080262446
22395990.558859475,916.7018792650197,4192.84716796875,9.519001619146342,240.0,238.61788749694824,247.40125552441552,3.292263907544626
22395990.638859488,915.5467873588786,4193.45361328125,9.804295171388858,240.0,238.61788749694824,247.40395184541026,3.181095345257066
22395990.7188595,914.5528921753285,4194.08203125,10.146554230989114,240.0,237.40266799926758,247.40689624156275,4.021961478798557
22395990.878859527,913.5097498210962,4194.63330078125,8.146698923430094,240.0,237.40266799926758,247.40958315082116,3.8815993024017645
22395990.95885954,912.5198170304066,4195.1572265625,8.489042827108742,240.0,237.40266799926758,247.41237082609376,3.729956750967942
22395991.118859567,911.4885621896829,4195.60986328125,8.83155606303771,240.0,237.40266799926758,247.41477849057975,3.5888976443297023
22395991.19885958,910.5980570437969,4196.1728515625,9.116806092873587,240.0,237.40266799926758,247.41777591742644,3.4804111486480926
22395991.358859606,909.4913038233644,4196.7578125,9.459179720726477,240.0,237.40266799926758,247.42087463137455,3.3384441075208398
22395991.43885962,908.3435364826,4197.36474609375,9.801478398619327,240.0,237.40266799926758,247.42410240700787,3.2437207588521453
22395991.598859645,907.1544499038719,4197.9931640625,10.143793997884355,240.0,236.18743896484375,247.4270450734482,4.071949102344317
22395991.67885966,906.1121630887501,4198.54443359375,8.142055922847831,240.0,236.18743896484375,247.42971427943996,3.9035501467567433
22395991.838859685,904.9539563872968,4199.06689453125,8.4844382110336,240.0,236.18743896484375,247.43345517215184,3.7277525759996024
22395991.99885971,903.7395964345196,4199.70556640625,8.94098972840474,240.0,236.18743896484375,247.43689079546675,3.5669604649719022
